,const,TELENOW_1,TELENOW_2,TELECOVID_1,TELECOVID_2,TELE2019_1,TELE2019_2,HRYEAR4,rank_16,rank_25,rank_100,PEHRUSLT
695,1.0,0,0,0,0,0,0,2019,0,1,0,15
697,1.0,0,0,0,0,0,0,2019,0,1,0,40
700,1.0,0,0,0,0,0,0,2019,0,1,0,40
701,1.0,0,0,0,0,0,0,2019,0,1,0,23
702,1.0,0,0,0,0,0,0,2019,0,1,0,40
704,1.0,0,0,0,0,0,0,2019,0,1,0,40
705,1.0,0,0,0,0,0,0,2019,0,1,0,40
707,1.0,0,0,0,0,0,0,2019,0,1,0,50
708,1.0,0,0,0,0,0,0,2019,0,1,0,40
709,1.0,0,0,0,0,0,0,2019,0,1,0,40
710,1.0,0,0,0,0,0,0,2019,0,1,0,40
712,1.0,0,0,0,0,0,0,2019,0,1,0,50
713,1.0,0,0,0,0,0,0,2019,0,1,0,51
714,1.0,0,0,0,0,0,0,2019,0,1,0,20
715,1.0,0,0,0,0,0,0,2019,0,1,0,40
718,1.0,0,0,0,0,0,0,2019,0,1,0,38
719,1.0,0,0,0,0,0,0,2019,0,1,0,40
720,1.0,0,0,0,0,0,0,2019,0,1,0,40
721,1.0,0,0,0,0,0,0,2019,0,1,0,40
723,1.0,0,0,0,0,0,0,2019,0,1,0,65
724,1.0,0,0,0,0,0,0,2019,0,1,0,38
726,1.0,0,0,0,0,0,0,2019,0,1,0,40
729,1.0,0,0,0,0,0,0,2019,0,1,0,45
730,1.0,0,0,0,0,0,0,2019,0,1,0,45
733,1.0,0,0,0,0,0,0,2019,0,1,0,50
734,1.0,0,0,0,0,0,0,2019,0,1,0,50
736,1.0,0,0,0,0,0,0,2019,1,0,0,40
737,1.0,0,0,0,0,0,0,2019,0,1,0,42
738,1.0,0,0,0,0,0,0,2019,0,1,0,40
739,1.0,0,0,0,0,0,0,2019,0,1,0,36
748,1.0,0,0,0,0,0,0,2019,0,1,0,24
